"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.798121834E0,3.100138716E-2,1.939495653E-2,5.016727000E-2
2.817585584E0,5.299251899E-2,3.573558852E-2,4.115701467E-2
2.837049438E0,7.589995116E-2,3.451386094E-2,2.955058403E-2
2.856513292E0,9.269873053E-2,2.229656465E-2,1.718057133E-2
2.875977042E0,9.544762224E-2,1.649334840E-2,7.406735327E-3
2.895440897E0,9.834922850E-2,2.779434808E-2,-2.519817324E-3
2.914904647E0,1.116355360E-1,4.612028971E-2,-1.183550525E-2
2.934368501E0,1.304196268E-1,7.238747925E-2,-3.061959706E-2
2.953832251E0,1.533270627E-1,8.384118974E-2,-4.925097153E-2
2.973296105E0,1.653916389E-1,7.635809481E-2,-5.734493211E-2
2.992759855E0,1.553123742E-1,8.048143238E-2,-6.803506613E-2
3.012223709E0,1.545487940E-1,8.491020650E-2,-8.345939964E-2
3.031687459E0,1.921169758E-1,8.475748450E-2,-9.002619982E-2
3.051151313E0,2.374736816E-1,1.058323234E-1,-8.361211419E-2
3.070615063E0,2.562577724E-1,1.233946830E-1,-7.292198390E-2
3.090078917E0,2.449567765E-1,1.276707351E-1,-6.849320978E-2
3.109542667E0,2.232710719E-1,1.262962967E-1,-7.200568914E-2
3.129006522E0,2.026543915E-1,1.166751757E-1,-8.468113095E-2
3.148470272E0,1.838703007E-1,1.020144150E-1,-9.124792367E-2
3.167934126E0,1.727220118E-1,9.056070447E-2,-7.780890167E-2
3.187397876E0,1.612683088E-1,8.277218044E-2,-4.512763396E-2
3.206861730E0,1.513417512E-1,8.475748450E-2,-1.137735695E-2
3.226325480E0,1.406516135E-1,8.567378670E-2,1.672242396E-2
3.245789334E0,1.227838174E-1,7.712167501E-2,4.375318810E-2
3.265253084E0,9.056070447E-2,7.437278330E-2,6.101011857E-2
3.284716938E0,5.009091273E-2,8.109229803E-2,7.948877662E-2
3.304180688E0,1.374445739E-3,9.376774728E-2,7.948877662E-2
3.323644542E0,-2.641990222E-2,9.926552325E-2,9.735657275E-2
3.343108292E0,-2.794706449E-2,1.224783882E-1,1.065195426E-1
3.362572147E0,-3.405570984E-2,1.038470119E-1,1.176678315E-1
3.382035897E0,-3.756818548E-2,1.070540547E-1,1.395062506E-1
3.401499751E0,-1.908952370E-2,1.279761642E-1,1.734092385E-1
3.420963501E0,-2.290742937E-3,1.464548260E-1,2.154061943E-1
3.440427355E0,2.611446939E-2,1.879936308E-1,2.282343507E-1
3.459891105E0,6.963858753E-2,2.310595959E-1,1.905134469E-1
3.479354959E0,1.004872546E-1,2.131918073E-1,1.358410567E-1
3.498818709E0,1.343902498E-1,1.715002805E-1,8.651372790E-2
3.518282563E0,1.725693047E-1,1.180496216E-1,4.451677203E-2
3.537746313E0,2.208276242E-1,5.955931544E-2,2.328922041E-2
3.557210167E0,2.710712552E-1,5.299251899E-2,7.712167688E-3
3.576673917E0,3.252854943E-1,7.864884287E-2,4.505127668E-3
3.596137772E0,3.767508566E-1,8.429934084E-2,1.397353224E-2
3.615601522E0,4.010327160E-1,7.116574794E-2,2.542724647E-2
3.635065376E0,3.860665262E-1,6.963858753E-2,3.657552972E-2
3.654529126E0,3.335321844E-1,5.467239767E-2,4.268417507E-2
3.673992980E0,2.745837271E-1,3.543015569E-2,2.283107117E-2
3.693456730E0,2.438877672E-1,2.489273995E-2,-1.244636998E-2
3.712920584E0,2.353356630E-1,2.244928107E-2,-4.192059487E-2
3.732384334E0,2.254091054E-1,3.817904973E-3,-5.810851231E-2
3.751848188E0,2.110537887E-1,-1.481347065E-2,-6.055197120E-2
3.771311938E0,2.025016695E-1,-1.756236330E-2,-5.123628303E-2
3.790775792E0,2.102901936E-1,-1.863137633E-2,-4.115701467E-2
3.810239542E0,2.429714650E-1,-2.015853859E-2,-4.069886729E-2
3.829703397E0,2.806923687E-1,-1.970038936E-2,-4.619665071E-2
3.849167147E0,2.984074354E-1,-1.970038936E-2,-5.306887627E-2
3.868631001E0,2.900080681E-1,-1.832594350E-2,-4.940368980E-2
3.888094751E0,2.629773021E-1,-1.252272818E-2,-5.123628303E-2
3.907558605E0,2.574795187E-1,-8.399390616E-3,-6.101011857E-2
3.927022355E0,2.846629918E-1,-5.345067009E-3,-6.925679743E-2
3.946486209E0,3.043633699E-1,-1.298087649E-2,-7.536543906E-2
3.965949959E0,3.020726442E-1,-4.413498193E-2,-8.040507883E-2
3.985413813E0,2.840521336E-1,-1.180496216E-1,-8.727730811E-2
4.004877563E0,2.622137070E-1,-2.118173689E-1,-9.078978002E-2
4.024341417E0,2.660316229E-1,-2.768744528E-1,-8.223766834E-2
4.043805167E0,3.110828996E-1,-3.197877109E-1,-5.138900131E-2
4.063269022E0,3.979783952E-1,-3.956876695E-1,-5.115992390E-3
4.082732772E0,4.864010811E-1,-4.778489769E-1,4.451677203E-2
4.102196626E0,5.465712547E-1,-5.117519498E-1,6.498073786E-2
4.121660376E0,5.707004070E-1,-5.261073112E-1,6.391172856E-2
4.141124230E0,5.427533388E-1,-5.606211424E-1,5.978839099E-2
4.160587980E0,4.876227975E-1,-6.055197120E-1,5.688678101E-2
4.180051834E0,4.466948807E-1,-6.149880886E-1,6.253728271E-2
4.199515584E0,4.056142271E-1,-5.769617558E-1,5.459604040E-2
4.218979334E0,3.546070158E-1,-5.054906011E-1,4.314232618E-2
4.238443188E0,3.010036349E-1,-4.431824088E-1,4.696023092E-2
4.257906938E0,2.464839369E-1,-4.579958618E-1,6.177370250E-2
4.277370792E0,1.800523996E-1,-5.332849622E-1,4.176788032E-2
4.296834542E0,1.340848207E-1,-5.801688433E-1,-1.183550525E-2
4.316298397E0,1.207985133E-1,-5.235111117E-1,-8.162680268E-2
4.335762147E0,1.191186309E-1,-3.639226854E-1,-1.326340139E-1
4.355226001E0,1.064431891E-1,-1.863137633E-1,-1.398116797E-1
4.374689751E0,8.857539296E-2,-5.864302069E-2,-1.210275814E-1
4.394153605E0,9.544762224E-2,5.513054505E-2,-1.155297980E-1
4.413617355E0,1.004872546E-1,1.572976857E-1,-1.379790753E-1
4.433081209E0,7.559451461E-2,2.072358727E-1,-1.665370166E-1
4.452544959E0,2.657261863E-2,2.086103261E-1,-1.918879002E-1
4.472008709E0,-1.863137633E-2,1.727220118E-1,-2.140317410E-1
4.491472563E0,-2.153298259E-2,1.207985133E-1,-2.134208828E-1
4.510936313E0,5.345067009E-3,8.139773458E-2,-1.802814752E-1
4.530400167E0,1.679878123E-2,7.635809481E-2,-1.259144992E-1
4.549863917E0,-1.099556591E-2,8.460476995E-2,-7.536543906E-2
4.569327772E0,-8.155044913E-2,7.696896046E-2,-4.741837829E-2
4.588791522E0,-1.707367003E-1,5.070177838E-2,-3.978256881E-2
4.608255376E0,-2.512181401E-1,1.618791744E-2,-4.283689335E-2
4.627719126E0,-3.065013885E-1,5.803215317E-3,-4.665479809E-2
4.647182876E0,-3.362810612E-1,5.207622424E-2,-3.642281145E-2
4.666646730E0,-3.382663727E-1,1.466075480E-1,-8.475748822E-3
4.686110480E0,-3.228420317E-1,2.223547846E-1,3.077231348E-2
4.705574334E0,-3.077231348E-1,2.368628234E-1,6.650790572E-2
4.725038084E0,-3.006981909E-1,1.922696829E-1,8.132137358E-2
4.744501938E0,-2.942841053E-1,1.220202371E-1,6.956222653E-2
4.763965688E0,-2.843575478E-1,7.055488229E-2,3.336848691E-2
4.783429542E0,-2.820668221E-1,5.604684353E-2,-1.519526169E-2
4.802893292E0,-2.916879356E-1,8.613193035E-2,-5.627591908E-2
4.822357147E0,-3.068068326E-1,1.527161896E-1,-7.292198390E-2
4.841820897E0,-2.941313982E-1,2.321286201E-1,-6.757691503E-2
4.861284647E0,-2.530507445E-1,3.013090491E-1,-4.344775900E-2
4.880748501E0,-2.118173689E-1,3.262017965E-1,-7.406735327E-3
4.900212251E0,-1.826485693E-1,2.838993967E-1,2.328922041E-2
