"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.624082563E0,9.762716293E0,7.782655358E-1,-8.434699476E-2
2.643546417E0,9.723235130E0,6.729813814E-1,1.794616925E-3
2.663010167E0,9.778269768E0,5.676971674E-1,-4.725824669E-2
2.682474022E0,9.931410789E0,5.431707501E-1,-1.274178028E-1
2.701937772E0,9.970293999E0,5.904290080E-1,-1.375873089E-1
2.721401626E0,9.882357597E0,6.610172391E-1,-1.184447184E-1
2.740865376E0,9.784850121E0,6.813562512E-1,-8.913264424E-2
2.760329230E0,9.783055305E0,5.922235847E-1,-9.870393574E-2
2.779792980E0,9.870393753E0,4.923232496E-1,-1.298106313E-1
2.799256834E0,9.849455833E0,5.282155871E-1,-1.830509305E-1
2.818720584E0,9.745368004E0,5.581258535E-1,-2.757728100E-1
2.838184438E0,9.671191216E0,4.313062727E-1,-3.092723191E-1
2.857648292E0,9.656235695E0,3.194418252E-1,-2.656033039E-1
2.877112042E0,9.755537987E0,3.637090325E-1,-2.608176768E-1
2.896575897E0,9.833903313E0,4.803591371E-1,-2.608176768E-1
2.916039647E0,9.890732765E0,5.150550604E-1,-3.535395563E-1
2.935503501E0,9.860223770E0,4.737788737E-1,-4.007977843E-1
2.954967251E0,9.779465675E0,3.421736360E-1,-3.678964674E-1
2.974431105E0,9.834501266E0,2.691925466E-1,-3.008974493E-1
2.993894855E0,9.912267685E0,3.810569942E-1,-1.674975902E-1
3.013358709E0,9.894321442E0,6.089733839E-1,7.178467698E-3
3.032822459E0,9.870991707E0,6.765705943E-1,8.853443712E-2
3.052286313E0,9.759127617E0,5.168496966E-1,2.452643216E-2
3.071750063E0,9.735796928E0,3.122633696E-1,7.178467698E-3
3.091213917E0,9.763913155E0,2.662015259E-1,1.100698411E-1
3.110677667E0,9.889535904E0,4.277170599E-1,1.280160099E-1
3.130141522E0,1.004566765E1,6.927221417E-1,1.345962733E-1
3.149605272E0,1.009651470E1,8.458628058E-1,1.884347796E-1
3.169069126E0,1.006421185E1,9.074779749E-1,2.614158690E-1
3.188532876E0,1.012881851E1,8.195417523E-1,3.218346536E-1
3.207996730E0,1.021316528E1,7.345965505E-1,4.492524564E-1
3.227460480E0,1.009591675E1,6.502495408E-1,6.346961856E-1
3.246924334E0,1.002772141E1,5.862415433E-1,7.190431952E-1
3.266388084E0,9.979865074E0,5.838487148E-1,6.987041831E-1
3.285851938E0,9.973882675E0,5.958128572E-1,6.149554253E-1
3.305315688E0,9.821938515E0,6.490531564E-1,5.545366406E-1
3.324779542E0,9.848857880E0,6.263213158E-1,6.119644046E-1
3.344243292E0,9.903294563E0,4.097708762E-1,6.071787477E-1
3.363707147E0,9.985248566E0,3.373879790E-1,5.635097623E-1
3.383170897E0,1.010548782E1,2.398804724E-1,5.330012441E-1
3.402634751E0,1.013180923E1,1.052841991E-1,4.025924206E-1
3.422098501E0,1.013539886E1,-2.392822644E-3,3.750749528E-1
3.441562355E0,1.006899738E1,-2.650051117E-1,3.750749528E-1
3.461026105E0,9.756135941E0,-5.024927258E-1,4.677968323E-1
3.480489959E0,9.325428009E0,-6.137589812E-1,7.381857634E-1
3.499953709E0,9.110074043E0,-6.646065116E-1,9.122636318E-1
3.519417563E0,9.240483284E0,-5.276173949E-1,9.762716293E-1
3.538881313E0,9.703494072E0,-3.002992272E-1,9.577272534E-1
3.558345167E0,9.908679008E0,-5.563312769E-2,8.428717852E-1
3.577808917E0,9.841081619E0,1.483550072E-1,6.077769399E-1
3.597272772E0,9.903294563E0,1.459621787E-1,4.025924206E-1
3.616736522E0,9.945169449E0,8.494520187E-2,2.261217386E-1
3.636200376E0,9.848857880E0,2.297109663E-1,1.118644550E-1
3.655664126E0,9.783055305E0,2.518445849E-1,8.255238086E-2
3.675127980E0,9.796216011E0,2.225325108E-1,2.733799815E-1
3.694591730E0,9.838688850E0,3.236292601E-1,4.833501875E-1
3.714055584E0,9.863813400E0,3.930211067E-1,5.826523304E-1
3.733519334E0,9.873982430E0,3.254238665E-1,6.376872063E-1
3.752983188E0,9.865009308E0,1.543370634E-1,6.562315822E-1
3.772446938E0,9.857233047E0,3.050848842E-2,6.197410822E-1
3.791910792E0,9.856036186E0,2.033899166E-2,5.581258535E-1
3.811374542E0,9.885947227E0,3.469592705E-2,5.000999570E-1
3.830838397E0,9.869196892E0,3.589234129E-2,3.643072546E-1
3.850302147E0,9.882357597E0,-2.213360928E-2,2.069791555E-1
3.869766001E0,9.921240807E0,-8.015955985E-2,7.118647546E-2
3.889229751E0,9.874580383E0,-7.836493850E-2,7.477571070E-2
3.908693605E0,9.783653259E0,-1.148554832E-1,1.040877849E-1
3.928157355E0,9.702896118E0,-1.992024779E-1,2.871387079E-2
3.947621209E0,9.636494637E0,-1.154536903E-1,-1.280160099E-1
3.967084959E0,9.604789734E0,8.374879137E-3,-1.842473447E-1
3.986548813E0,9.650852203E0,-4.845465720E-2,-9.690931439E-2
4.006012563E0,9.775876999E0,-2.189432681E-1,7.178467698E-3
4.025476417E0,9.784252167E0,-2.997010350E-1,-1.142572835E-1
