"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.570368867E0,6.582067907E-2,5.199986324E-2,9.926552884E-4
2.589829492E0,6.627883017E-2,5.703949928E-2,6.032289471E-3
2.609290117E0,7.086031139E-2,4.833467677E-2,7.559451740E-3
2.628750846E0,7.177661359E-2,3.000873141E-2,6.337722298E-3
2.648211471E0,7.483093441E-2,2.619082667E-2,3.741546767E-3
2.667672096E0,8.277218044E-2,3.764454275E-2,8.399390499E-4
2.687132721E0,8.261945844E-2,5.245801434E-2,5.345066893E-4
2.706593346E0,7.192932814E-2,5.826122686E-2,-1.756236190E-3
2.726053971E0,6.475166976E-2,6.238456443E-2,-3.130682046E-3
2.745514700E0,5.314523727E-2,7.551816106E-2,6.872228696E-4
2.764975325E0,3.008509055E-2,8.086322248E-2,2.519817324E-3
2.784435950E0,1.023198478E-2,7.475458086E-2,-6.872228696E-4
2.803896575E0,7.635809947E-3,7.322741300E-2,-9.926552884E-4
2.823357200E0,1.511890348E-2,7.002037764E-2,6.872228696E-4
2.842817825E0,2.290742844E-2,6.039925665E-2,3.283398226E-3
2.862278450E0,3.390299529E-2,4.696023092E-2,4.963276442E-3
2.881739179E0,4.581485689E-2,3.993528336E-2,8.017600514E-3
2.901199804E0,5.314523727E-2,4.207331315E-2,7.864884101E-3
2.920660429E0,5.833758786E-2,4.970912263E-2,4.810560029E-3
2.940121054E0,6.566796452E-2,4.650207981E-2,3.894262947E-3
2.959581679E0,7.422006875E-2,4.421133921E-2,7.712167688E-3
2.979042304E0,8.491020650E-2,4.146244749E-2,1.259908639E-2
2.998503033E0,9.483675659E-2,2.893971838E-2,1.366809942E-2
3.017963658E0,9.147699922E-2,3.581194952E-2,1.611155830E-2
3.037424283E0,8.032871783E-2,5.016727000E-2,1.870773360E-2
3.056884908E0,7.589995116E-2,4.741837829E-2,2.084576152E-2
3.076345533E0,8.063415438E-2,3.168861195E-2,2.084576152E-2
3.095806158E0,8.521563560E-2,1.718057133E-2,2.176205814E-2
3.115266783E0,7.467821985E-2,1.290451828E-2,2.374736778E-2
3.134727512E0,6.566796452E-2,3.436114406E-3,2.130390890E-2
3.154188137E0,7.406735420E-2,-1.061377581E-2,1.794415340E-2
3.173648762E0,7.589995116E-2,-3.107774630E-2,1.183550525E-2
3.193109387E0,6.688969582E-2,-3.352120519E-2,1.107192412E-2
3.212570012E0,6.291907281E-2,-2.802342176E-2,1.595884189E-2
3.232030637E0,6.200277433E-2,-5.016727000E-2,1.443168055E-2
3.251491262E0,4.428769648E-2,-8.590286225E-2,1.290451828E-2
3.270951992E0,2.244928107E-2,-1.210275814E-1,8.933897130E-3
3.290412617E0,4.123337101E-3,-1.598175019E-1,1.450803829E-3
3.309873242E0,5.955931731E-3,-1.639408320E-1,-1.229365356E-2
3.329333867E0,1.572976820E-2,-1.553887278E-1,-2.649625950E-2
3.348794492E0,1.130099874E-2,-1.483637840E-1,-3.718639165E-2
3.368255117E0,-9.315688163E-3,-1.355356276E-1,-4.314232618E-2
