"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.230942617E0,9.614959717E0,2.033899166E-2,-3.828516230E-2
2.250403242E0,9.562317848E0,6.580262445E-3,9.631111473E-2
2.269863867E0,9.661619186E0,8.673982322E-2,1.262213886E-1
2.289324596E0,9.773484230E0,1.716850251E-1,-1.256231871E-2
2.308785221E0,9.819545746E0,2.560320199E-1,-1.351944804E-1
2.328245846E0,9.897911072E0,3.577269912E-1,-1.064806059E-1
2.347706471E0,9.930213928E0,4.319044948E-1,-9.750752151E-2
2.367167096E0,9.884750366E0,4.755735099E-1,-1.561316848E-1
2.386627721E0,9.853045464E0,4.271188378E-1,-1.710868180E-1
2.406088450E0,9.799206734E0,3.798605800E-1,-1.094716340E-1
2.425549075E0,9.716654778E0,3.056831062E-1,6.580262445E-3
2.445009700E0,9.684949875E0,2.003988922E-1,3.050848842E-2
2.464470325E0,9.820143700E0,1.770688742E-1,-8.973085135E-2
2.483930950E0,1.005284595E1,2.309073806E-1,-2.356930375E-1
2.503391575E0,1.006839943E1,2.925225794E-1,-2.907279432E-1
2.522852304E0,9.989436150E0,2.542374134E-1,-2.386840582E-1
2.542312929E0,9.900901794E0,1.489532143E-1,-7.956135273E-2
2.561773554E0,9.856635094E0,1.381855011E-1,1.196411345E-2
2.581234179E0,9.811170578E0,1.728814393E-1,2.333002165E-2
2.600694804E0,9.783055305E0,2.153540403E-1,-6.101697683E-2
2.620155533E0,9.776474953E0,2.321037948E-1,-1.387837082E-1
2.639616158E0,9.833903313E0,1.974078715E-1,-1.322034448E-1
2.659076783E0,9.888937950E0,1.579262912E-1,-8.195417374E-2
2.678537408E0,9.893723488E0,1.561316848E-1,-5.802594870E-2
2.697998033E0,9.868598938E0,1.680957973E-1,-7.298108935E-2
2.717458658E0,9.884152412E0,2.470589429E-1,-9.092725813E-2
2.736919283E0,9.909276962E0,3.152543902E-1,-1.333998591E-1
2.756380012E0,9.906884193E0,2.656033039E-1,-2.315055877E-1
2.775840637E0,9.896116257E0,1.908276081E-1,-2.141576260E-1
2.795301262E0,9.845269203E0,1.645065546E-1,-5.802594870E-2
2.814761887E0,9.806385040E0,1.794617027E-1,2.033899166E-2
2.834222512E0,9.719645500E0,2.255235314E-1,5.982056726E-3
2.853683137E0,9.693922997E0,2.303091735E-1,-4.606183618E-2
2.873143867E0,9.746564865E0,1.603191197E-1,-7.776673883E-2
2.892604492E0,9.862616539E0,6.161518395E-2,-9.810572863E-2
2.912065117E0,9.932606697E0,1.615155302E-2,-8.733802289E-2
2.931525742E0,9.927821159E0,4.187439568E-3,-3.708875179E-2
2.950986367E0,9.892526627E0,1.028913707E-1,3.888336942E-2
2.970446992E0,9.821340561E0,2.027917206E-1,9.511470050E-2
2.989907617E0,9.856635094E0,2.470589429E-1,1.064806059E-1
3.009368346E0,9.925428391E0,2.374876440E-1,3.589233849E-3
3.028828971E0,9.944570541E0,1.782652885E-1,-7.836493850E-2
3.048289596E0,9.868598938E0,2.033899277E-1,-3.529413417E-2
3.067750221E0,9.805787086E0,1.710868180E-1,1.160518974E-1
3.087210846E0,9.789635658E0,1.884347796E-1,2.470589429E-1
3.106671471E0,9.819545746E0,2.141576260E-1,2.309073806E-1
3.126132096E0,9.807581902E0,2.147558331E-1,1.860419661E-1
3.145592825E0,9.748359680E0,2.003988922E-1,2.081755698E-1
3.165053450E0,9.759127617E0,1.848455518E-1,1.968096644E-1
3.184514075E0,9.800403595E0,1.746760458E-1,1.250249892E-1
3.203974700E0,9.757930756E0,2.243271172E-1,1.190429255E-1
3.223435325E0,9.708279610E0,2.841476798E-1,1.992024779E-1
3.242895950E0,9.757332802E0,2.925225794E-1,3.212364316E-1
3.262356679E0,9.815358162E0,2.865405083E-1,4.725824594E-1
3.281817304E0,9.815358162E0,2.530409992E-1,5.288137794E-1
3.301277929E0,9.890732765E0,2.243271172E-1,4.827519655E-1
3.320738554E0,9.945767403E0,2.763710022E-1,2.721835673E-1
3.340199179E0,9.902098656E0,2.673979402E-1,-1.794616925E-3
3.359659804E0,9.923633575E0,1.627119333E-1,-1.004985496E-1
3.379120429E0,9.993025780E0,1.872383654E-1,-6.400800496E-2
3.398581158E0,1.002712345E1,2.338984162E-1,-1.854437590E-2
3.418041783E0,9.997811317E0,2.338984162E-1,1.196411345E-2
3.437502408E0,9.933204651E0,1.740778536E-1,6.281159073E-2
3.456963033E0,9.891330719E0,1.543370634E-1,1.166501045E-1
3.476423658E0,9.848857880E0,1.746760458E-1,1.238285750E-1
3.495884283E0,9.836894035E0,2.273181528E-1,8.135596663E-2
3.515345012E0,9.869794846E0,2.488535494E-1,5.862415582E-2
3.534805637E0,9.920642853E0,2.051845491E-1,1.794616925E-3
3.554266262E0,9.931410789E0,1.770688742E-1,-2.213360928E-2
3.573726887E0,9.957731247E0,1.842473447E-1,2.033899166E-2
3.593187512E0,9.962516785E0,2.159522474E-1,7.537391037E-2
3.612648137E0,9.938589096E0,2.189432681E-1,9.810572863E-2
3.632108762E0,9.906285286E0,1.824527234E-1,9.451649338E-2
3.651569492E0,9.914660454E0,1.639083475E-1,6.640082598E-2
3.671030117E0,9.881160736E0,1.854437590E-1,9.391828626E-2
3.690490742E0,9.863813400E0,1.872383654E-1,1.286142170E-1
3.709951367E0,9.859625816E0,1.555334777E-1,2.267199457E-1
3.729411992E0,9.818349838E0,1.375873089E-1,3.667000830E-1
3.748872617E0,9.773484230E0,1.429711580E-1,4.067798555E-1
3.768333242E0,9.792626381E0,1.543370634E-1,3.092723191E-1
3.787793971E0,9.897911072E0,1.663011760E-1,-1.555334684E-2
3.807254596E0,9.936794281E0,1.046859920E-1,-2.075773627E-1
3.826715221E0,9.940383911E0,1.142572835E-1,-1.322034448E-1
3.846175846E0,9.961918831E0,2.111666054E-1,8.315058798E-2
3.865636471E0,9.876375198E0,2.955136001E-1,2.667997181E-1
3.885097096E0,9.723833084E0,3.068794906E-1,3.104687333E-1
3.904557721E0,9.644271851E0,2.356930375E-1,2.458625287E-1
3.924018450E0,9.732208252E0,1.824527234E-1,1.854437590E-1
3.943479075E0,9.847063065E0,1.818545163E-1,1.657029688E-1
3.962939700E0,9.917651176E0,1.716850251E-1,1.866401732E-1
3.982400325E0,9.934401512E0,1.686939895E-1,2.141576260E-1
4.001860950E0,9.875777245E0,1.555334777E-1,2.285145670E-1
4.021321575E0,9.849455833E0,1.328016520E-1,2.069791555E-1
4.040782304E0,9.841081619E0,1.220339537E-1,2.667997181E-1
4.060242929E0,9.855438232E0,1.328016520E-1,3.254238665E-1
4.079703554E0,9.848259926E0,1.292124242E-1,3.439682424E-1
4.099164179E0,9.748957634E0,1.651047617E-1,2.835494876E-1
4.118624804E0,9.791430473E0,1.704886109E-1,2.087737769E-1
4.138085429E0,9.927223206E0,1.639083475E-1,2.512463629E-1
4.157546054E0,1.000917721E1,1.633101404E-1,2.440679073E-1
4.177006783E0,9.994221687E0,1.172483116E-1,2.159522474E-1
4.196467408E0,9.885348320E0,9.631111473E-2,2.315055877E-1
4.215928033E0,9.800403595E0,1.220339537E-1,2.632105052E-1
4.235388658E0,9.732208252E0,1.680957973E-1,3.254238665E-1
4.254849283E0,9.712467194E0,2.201396823E-1,3.379862010E-1
4.274309908E0,9.771689415E0,2.297109663E-1,3.349951804E-1
4.293770533E0,9.864411354E0,2.530409992E-1,2.883351147E-1
4.313231262E0,9.908679008E0,2.321037948E-1,2.039881349E-1
4.332691887E0,9.884750366E0,1.710868180E-1,1.860419661E-1
4.352152512E0,9.885947227E0,1.220339537E-1,2.159522474E-1
4.371613137E0,9.890133858E0,1.118644550E-1,2.554338276E-1
4.391073762E0,9.826126099E0,1.704886109E-1,2.823530734E-1
4.410534387E0,9.815957069E0,2.141576260E-1,2.835494876E-1
4.429995012E0,9.815358162E0,2.081755698E-1,3.074777126E-1
4.449455742E0,9.798010826E0,1.884347796E-1,3.248256743E-1
4.468916367E0,9.793225288E0,1.459621787E-1,3.272185028E-1
4.488376992E0,9.809376717E0,1.591227055E-1,3.200400174E-1
4.507837617E0,9.835697174E0,1.866401732E-1,3.260220885E-1
4.527298242E0,9.905089378E0,2.183450609E-1,2.638086975E-1
4.546758867E0,9.946963310E0,1.914258152E-1,1.764706671E-1
4.566219492E0,9.899705887E0,1.764706671E-1,1.076770201E-1
4.585680117E0,9.863214493E0,1.663011760E-1,8.195417374E-2
4.605140846E0,9.896116257E0,1.597209126E-1,9.332008660E-2
4.624601471E0,9.885947227E0,1.980060786E-1,1.567298770E-1
4.644062096E0,9.802198410E0,2.153540403E-1,1.878365725E-1
4.663522721E0,9.757930756E0,1.902294010E-1,2.057827413E-1
4.682983346E0,9.809974670E0,1.830509305E-1,1.704886109E-1
4.702443971E0,9.910472870E0,1.896311939E-1,9.451649338E-2
4.721904596E0,9.905687332E0,1.890329868E-1,5.982056609E-4
4.741365221E0,9.933803558E0,1.884347796E-1,-7.178467698E-3
4.760825950E0,9.967302322E0,1.872383654E-1,3.409772366E-2
4.780286575E0,9.962516785E0,2.045863420E-1,9.212367237E-2
4.799747200E0,9.902098656E0,1.776670814E-1,4.007977992E-2
4.819207825E0,9.829116821E0,1.794617027E-1,-8.973085321E-3
4.838668450E0,9.819545746E0,1.740778536E-1,-2.991028316E-2
4.858129075E0,9.857233047E0,1.716850251E-1,1.794616925E-3
4.877589700E0,9.873982430E0,1.657029688E-1,5.324030295E-2
4.897050325E0,9.854242325E0,1.674975902E-1,5.024927482E-2
4.916511054E0,9.854840279E0,1.232303679E-1,2.991028316E-2
4.935971679E0,9.868000984E0,1.040877849E-1,2.991028363E-3
4.955432304E0,9.882357597E0,1.046859920E-1,-1.854437590E-2
4.974892929E0,9.923633575E0,1.232303679E-1,-1.615155302E-2
4.994353554E0,9.960124016E0,1.489532143E-1,-1.974078640E-2
5.013814179E0,9.954142570E0,1.728814393E-1,-3.768695518E-2
5.033274804E0,9.927821159E0,1.710868180E-1,-6.580262631E-2
5.052735533E0,9.923035622E0,1.477568001E-1,-1.202393398E-1
5.072196158E0,9.970891953E0,1.441675574E-1,-2.093719840E-1
5.091656783E0,9.975677490E0,1.501496136E-1,-1.453639716E-1
5.111117408E0,9.872786522E0,1.202393398E-1,1.824527234E-1
5.130578033E0,9.763314247E0,1.489532143E-1,4.881358147E-1
5.150038658E0,9.729815483E0,1.645065546E-1,4.971089065E-1
5.169499283E0,9.730413437E0,9.750752151E-2,2.608176768E-1
5.188959908E0,9.794421196E0,1.118644550E-1,1.196411322E-3
