"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.010296948E0,1.006361389E1,-1.316052526E-1,-2.439482689E0
3.029757677E0,1.001037312E1,-7.052844763E-1,-1.268794179E0
3.049218302E0,9.789635658E0,-4.594219327E-1,3.409772366E-2
3.068679031E0,9.442676544E0,-2.829512656E-1,1.824527234E-1
3.088139760E0,9.023932457E0,-6.664010882E-1,4.247260094E-2
3.107600385E0,8.705088615E0,-7.292127013E-1,-5.335994363E-1
3.127061114E0,8.816953659E0,-5.150550604E-1,-6.161518097E-1
3.146521844E0,9.728618622E0,-4.360919297E-1,-5.246263742E-1
3.165982573E0,1.048774147E1,-5.623133183E-1,-6.275177598E-1
3.185443198E0,1.070548820E1,-5.443671346E-1,-4.229314029E-1
3.204903927E0,1.030708313E1,-5.174478889E-1,1.106680483E-1
3.224364656E0,9.618548393E0,-9.535398483E-1,2.135594189E-1
3.243825281E0,9.023932457E0,-1.385444283E0,-1.256231815E-1
3.263286010E0,8.964710236E0,-1.293918848E0,-2.279163599E-1
3.282746739E0,9.622138023E0,-8.123632669E-1,-1.758724600E-1
3.302207364E0,1.024068260E1,-4.995017350E-1,-3.900300860E-1
3.321668094E0,1.032981491E1,-4.235295951E-1,-4.791627228E-1
3.341128823E0,1.022453117E1,-4.725824594E-1,-4.079762697E-1
3.360589448E0,9.924830437E0,-6.819544435E-1,-3.667000830E-1
3.380050177E0,9.667601585E0,-9.475577474E-1,-3.068794906E-1
3.399510906E0,9.461220741E0,-9.140582681E-1,2.536391914E-1
3.418971531E0,9.341579437E0,-7.615157962E-1,2.871387079E-2
3.438432260E0,9.775279045E0,-9.631111026E-1,-4.139583111E-1
3.457892989E0,1.016411209E1,-9.242277741E-1,-4.277170599E-1
3.477353614E0,1.003848934E1,-8.458628058E-1,-4.839483798E-1
3.496814344E0,9.952347755E0,-8.536394835E-1,-5.084748268E-1
3.516275073E0,1.010249710E1,-9.248259664E-1,-4.731806815E-1
3.535735802E0,9.869196892E0,-9.337990284E-1,-3.966103494E-1
3.555196427E0,9.292527199E0,-9.804590940E-1,-1.387837082E-1
3.574657156E0,9.092725754E0,-1.170688510E0,1.435693540E-2
3.594117885E0,9.446265221E0,-1.250249863E0,-1.734796353E-2
3.613578510E0,1.003848934E1,-1.066600680E0,-1.651047617E-1
3.633039239E0,1.014317513E1,-6.825526357E-1,-1.597209126E-1
3.652499969E0,1.008455086E1,-5.682953596E-1,-1.878365725E-1
3.671960594E0,1.012642574E1,-9.529415965E-1,-4.839483798E-1
3.691421323E0,1.004686451E1,-1.393819213E0,-5.605186820E-1
3.710882052E0,9.905089378E0,-1.588235974E0,-5.503492355E-1
3.730342677E0,9.837491989E0,-1.474576950E0,-2.895315289E-1
3.749803406E0,9.740582466E0,-1.487139225E0,-1.591227055E-1
3.769264135E0,9.626923561E0,-1.818545222E0,-3.714857101E-1
3.788724760E0,9.605986595E0,-2.300698996E0,-6.891329288E-1
3.808185489E0,9.744770050E0,-2.526222467E0,-7.351947427E-1
3.827646219E0,9.889535904E0,-2.532204628E0,-6.394818425E-1
3.847106844E0,1.002413273E1,-2.358126640E0,-6.370890141E-1
3.866567573E0,1.011027431E1,-1.948355794E0,-7.196413875E-1
3.886028302E0,9.983454704E0,-1.448255897E0,-7.274180651E-1
3.905489031E0,9.785448074E0,-9.750752449E-1,-5.946164131E-1
3.924949656E0,9.558728218E0,-6.819544435E-1,-3.810569942E-1
3.944410385E0,9.471389771E0,-5.742774606E-1,-3.529413342E-1
3.963871010E0,9.698708534E0,-4.420739710E-1,-2.769692242E-1
3.983331739E0,1.020538902E1,-3.589234129E-2,-1.974078640E-2
4.002792469E0,1.043270683E1,5.204389244E-2,8.853443712E-2
4.022253198E0,9.962516785E0,-8.069794178E-1,-1.621137410E-1
4.041713823E0,9.754940033E0,-1.859821439E0,-7.292127013E-1
4.061174552E0,9.833903313E0,-2.281556368E0,-9.756734371E-1
4.080635281E0,9.964311600E0,-1.615753531E0,-8.033902049E-1
4.100095906E0,9.880562782E0,-6.005984545E-1,-4.396811724E-1
4.119556635E0,9.622735977E0,2.524427772E-1,-3.152543902E-1
4.139017364E0,9.294321060E0,5.784648657E-1,-6.430711150E-1
4.158477989E0,9.249456406E0,6.173482537E-1,-1.174277663E0
4.177938719E0,9.235098839E0,6.831508875E-1,-1.418943882E0
4.197399448E0,9.110074043E0,7.722834945E-1,-1.229910851E0
4.216860073E0,8.860024452E0,6.412764788E-1,-9.613165259E-1
4.236320802E0,8.668000221E0,4.360919297E-1,-1.046261668E0
4.255781531E0,8.776873589E0,6.382854581E-1,-1.225125194E0
4.275242156E0,9.349954605E0,1.220937729E0,-1.061216831E0
4.294702885E0,1.032144070E1,1.825125456E0,-3.822534084E-1
4.314163614E0,1.124148083E1,1.749153376E0,4.151547253E-1
4.333624239E0,1.188036442E1,7.262216806E-1,5.449653864E-1
4.353084969E0,1.218305683E1,-2.991028363E-3,1.734796353E-2
4.372545698E0,1.166680527E1,2.285145670E-1,-6.801598072E-1
4.392006323E0,1.065763187E1,1.106082320E0,-8.775677085E-1
4.411467052E0,9.387042999E0,1.944168448E0,-6.765705943E-1
4.430927781E0,8.309076309E0,2.261217356E0,-4.839483798E-1
4.450388406E0,7.752745152E0,1.981855392E0,-2.967100143E-1
4.469849135E0,7.986045361E0,1.480558991E0,-5.718846321E-1
4.489309864E0,8.589634895E0,1.065404296E0,-1.728814393E-1
4.508770489E0,1.025384331E1,-5.246263742E-1,3.134597540E-1
4.528231219E0,1.174397373E1,-3.157927752E0,-4.995017350E-1
4.547691948E0,1.210289669E1,-3.665804386E0,-2.213360928E-2
4.567152573E0,1.122832012E1,-1.206580877E0,1.214955688E0
4.586613302E0,1.047039413E1,8.470591903E-1,1.385444283E0
4.606074031E0,9.582057953E0,1.773679733E0,-2.865405083E-1
4.625534656E0,9.178269386E0,2.081755638E0,-1.785643935E0
4.644995385E0,8.938388824E0,2.398206472E0,-1.578664780E0
4.664456114E0,8.607581139E0,2.840878725E0,-5.455635786E-1
4.683916739E0,9.014959335E0,2.358126640E0,-7.357929647E-2
4.703377469E0,9.985248566E0,9.541380405E-1,-3.302095234E-1
4.722838198E0,1.051765156E1,1.094716340E-1,-8.183453679E-1
4.742298823E0,1.077368355E1,-1.118644550E-1,-9.595218897E-1
4.761759552E0,1.060558796E1,1.788634956E-1,-8.273184299E-1
4.781220281E0,9.905687332E0,1.019342422E0,-9.146564603E-1
4.800680906E0,9.332606316E0,1.858624935E0,-1.189232826E0
4.820141635E0,9.070592880E0,2.455634356E0,-1.348355532E0
4.839602364E0,8.950951576E0,2.639283419E0,-1.508674622E0
4.859062989E0,9.125627518E0,2.435893536E0,-1.847259045E0
4.878523719E0,9.355338097E0,2.294716835E0,-2.155933142E0
4.897984448E0,9.557532310E0,2.298306227E0,-2.230110645E0
4.917445073E0,9.645467758E0,2.261217356E0,-1.912463546E0
4.936905802E0,9.604191780E0,2.009372711E0,-1.411765337E0
4.956366531E0,9.394221306E0,1.622333765E0,-1.013958573E0
4.975827156E0,9.227322578E0,1.207777262E0,-8.057830334E-1
4.995287885E0,9.262018204E0,9.852447510E-1,-7.172485590E-1
5.014748614E0,9.246464729E0,9.690931439E-1,-5.521438122E-1
5.034209239E0,9.256035805E0,1.010369420E0,-6.550351977E-1
5.053669969E0,9.824331284E0,1.096511006E0,-1.134197950E0
5.073130698E0,1.070967579E1,1.201795220E0,-1.375274777E0
5.092591323E0,1.158425236E1,1.030708313E0,-1.755135417E0
5.112052052E0,1.140957642E1,4.749752879E-1,-1.641476393E0
5.131512781E0,1.056849957E1,-9.990034252E-2,-1.326820135E0
5.150973406E0,9.771091461E0,-4.983053207E-1,-9.738788009E-1
5.170434135E0,9.153144836E0,-6.023930907E-1,-3.517449200E-1
5.189894864E0,8.729017258E0,-5.156532526E-1,1.728814393E-1
5.209355489E0,8.794819832E0,-3.541377485E-1,3.014956415E-1
5.228816219E0,9.308079720E0,-2.344966233E-1,2.697907388E-1
5.248276948E0,1.004207802E1,-4.307080805E-2,8.374879509E-2
5.267737573E0,1.050150013E1,7.597211748E-2,-8.075776696E-2
5.287198302E0,1.050987530E1,7.776673418E-3,-2.177468538E-1
5.306659031E0,1.009472084E1,-8.374879509E-2,-3.008974493E-1
5.326119656E0,9.535996437E0,-1.094716340E-1,-1.992024779E-1
5.345580385E0,9.171689034E0,-2.333002165E-2,-1.734796464E-1
5.365041114E0,9.165108681E0,1.160518974E-1,-2.793620527E-1
5.384501844E0,9.538987160E0,4.091726840E-1,-4.630111754E-1
5.403962469E0,1.008514881E1,6.520441771E-1,-6.095715761E-1
5.423423198E0,1.045723343E1,7.076773047E-1,-7.938188910E-1
5.442883927E0,1.046201897E1,4.821537733E-1,-8.721838593E-1
5.462344552E0,1.015513897E1,1.232303679E-1,-7.160521746E-1
5.481805281E0,9.805787086E0,-1.794616925E-3,-3.960121572E-1
5.501266010E0,9.608977318E0,6.640082598E-2,-9.451649338E-2
5.520726635E0,9.554540634E0,1.489532143E-1,4.067798331E-2
5.540187364E0,9.488738060E0,1.513460279E-1,7.178468257E-2
5.559648094E0,9.544371605E0,1.124626622E-1,7.836493850E-2
5.579108719E0,9.608977318E0,2.751746029E-2,7.537391037E-2
5.598569448E0,9.845269203E0,-4.366901144E-2,-9.571290575E-3
5.618030177E0,1.009950638E1,-1.495514158E-2,-1.902294010E-1
5.637490802E0,1.019641590E1,1.447657645E-1,-3.050848842E-1
5.656951531E0,9.993025780E0,3.936193287E-1,-3.726821244E-1
5.676412260E0,9.824930191E0,4.737788737E-1,-3.445664644E-1
5.695872885E0,9.802198410E0,3.894318938E-1,-2.853440940E-1
5.715333614E0,9.831509590E0,2.620140910E-1,-2.045863420E-1
5.734794344E0,9.817152977E0,1.752742529E-1,-1.513460279E-1
5.754255073E0,9.772886276E0,1.256231871E-2,-1.214357466E-1
5.773715698E0,9.695717812E0,-1.124626622E-1,-1.405783296E-1
5.793176427E0,9.718449593E0,3.768695518E-2,-1.914258152E-1
5.812637156E0,9.713065147E0,1.986042857E-1,-6.879365444E-2
5.832097781E0,9.724431038E0,2.410768867E-1,-1.836491376E-1
5.851558510E0,9.738788605E0,2.261217386E-1,-3.678964674E-1
5.871019239E0,9.820143700E0,2.309073806E-1,-4.695914388E-1
5.890479864E0,9.936794281E0,2.524427772E-1,-6.047859192E-1
5.909940594E0,1.000199890E1,2.638086975E-1,-7.471588850E-1
5.929401323E0,1.006301594E1,2.805584669E-1,-8.321040869E-1
5.948861948E0,1.011027431E1,2.446661144E-1,-8.285148144E-1
5.968322677E0,1.013180923E1,1.112662554E-1,-8.255237937E-1
5.987783406E0,1.004387283E1,-2.273181453E-2,-7.136593461E-1
6.007244135E0,9.876974106E0,-1.274178028E-1,-5.222335458E-1
6.026704760E0,9.715457916E0,-1.860419661E-1,-4.133601189E-1
6.046165489E0,9.635298729E0,-2.297109663E-1,-4.408775866E-1
6.065626219E0,9.651450157E0,-2.135594189E-1,-4.462614357E-1
