"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.787589760E0,1.572213173E-1,-3.352120519E-2,-4.573849961E-2
3.807050489E0,2.054796368E-1,-4.222602770E-2,-3.672824427E-2
3.826511219E0,2.743546367E-1,-4.314232618E-2,-3.627009690E-2
3.845971844E0,3.572795391E-1,-4.069886729E-2,-2.939786762E-2
3.865432573E0,3.982074857E-1,-1.107192412E-2,-3.214675933E-2
3.884893302E0,3.818668425E-1,4.436405376E-2,-5.062541738E-2
3.904354031E0,3.343721032E-1,7.017309219E-2,-7.200568914E-2
3.923814656E0,2.662606835E-1,6.207913160E-2,-1.056032479E-1
3.943275385E0,1.749363989E-1,5.535962060E-2,-1.541669965E-1
3.962736010E0,4.344775900E-2,1.534797717E-2,-2.213621289E-1
3.982196739E0,-5.917752534E-2,-2.741255611E-2,-2.893208265E-1
4.001657469E0,-7.857248187E-2,2.985601686E-2,-3.259727061E-1
4.021118198E0,2.977965865E-3,1.590539217E-1,-2.641226649E-1
4.040578823E0,9.078978002E-2,1.848629564E-1,-1.198058575E-1
4.060039552E0,1.201112866E-1,1.575267613E-1,-2.619082667E-2
4.079500281E0,7.399099320E-2,1.479056329E-1,-4.283689335E-2
4.098960906E0,1.916588284E-2,1.503490955E-1,-1.340084672E-1
4.118421635E0,2.084576152E-2,1.413388401E-1,-2.205985487E-1
4.137882364E0,4.955640435E-2,1.063668281E-1,-2.302196622E-1
4.157342989E0,-2.519817324E-3,5.933023989E-2,-1.662315726E-1
4.176803719E0,-1.291215420E-1,-1.916588284E-2,-1.262199283E-1
4.196264448E0,-2.567922771E-1,-9.185878932E-2,-1.384372264E-1
4.215725073E0,-3.352884054E-1,-1.468366235E-1,-1.370627880E-1
4.235185802E0,-3.962221742E-1,-1.805869043E-1,-7.719803602E-2
4.254646531E0,-5.164098144E-1,-1.912770271E-1,-3.817904799E-4
4.274107156E0,-6.596575975E-1,-1.819613427E-1,3.214675933E-2
4.293567885E0,-7.121919990E-1,-1.795178801E-1,-5.421424750E-3
4.313028614E0,-5.967385173E-1,-1.729510874E-1,-5.474875495E-2
4.332489239E0,-3.858374655E-1,-1.408806890E-1,-5.322159454E-2
4.351949969E0,-2.181550860E-1,-1.240819097E-1,-6.834049523E-2
4.371410698E0,-1.702021956E-1,-9.980003536E-2,-1.585957706E-1
4.390871323E0,-1.955530941E-1,-4.955640435E-2,-2.714530230E-1
4.410332052E0,-2.296088040E-1,-1.504254527E-2,-3.444513679E-1
4.429792781E0,-2.822958827E-1,-3.443750367E-2,-3.458258212E-1
4.449253406E0,-3.618610203E-1,-1.155297980E-1,-2.745073736E-1
4.468714135E0,-4.589885175E-1,-2.202931046E-1,-1.595120728E-1
4.488174864E0,-4.231002033E-1,-4.696786702E-1,-7.063124329E-2
4.507635489E0,-1.605810821E-1,-8.218421936E-1,-1.107192412E-2
4.527096219E0,-1.514181048E-1,-4.418843091E-1,-1.027016416E-1
4.546556948E0,-2.706894577E-1,2.737437785E-1,-3.736201823E-1
4.566017573E0,2.756527252E-2,3.093266487E-1,-5.278635025E-1
4.585478302E0,5.561160445E-1,9.017891437E-2,-3.702604175E-1
4.604939031E0,7.909935117E-1,-2.863428742E-2,-2.097556889E-1
4.624399656E0,6.718748808E-1,-7.826705277E-2,-1.755472720E-1
4.643860385E0,4.143953919E-1,-3.894262947E-3,-1.929569095E-1
4.663321114E0,2.654971182E-1,1.089630052E-1,-1.941786408E-1
4.682781739E0,2.558759749E-1,6.391172856E-2,-1.564577371E-1
4.702242469E0,2.509890795E-1,-7.414371520E-2,-1.304959953E-1
4.721703198E0,2.120464295E-1,-1.434768587E-1,-1.460730433E-1
4.741163823E0,2.080758214E-1,-9.109520912E-2,-1.660788655E-1
4.760624552E0,2.810741663E-1,4.711294547E-2,-1.683696061E-1
4.780085281E0,3.774380684E-1,1.526398361E-1,-1.381317973E-1
4.799545906E0,4.131736755E-1,1.135444939E-1,-9.781472385E-2
4.819006635E0,3.748418987E-1,1.962403022E-2,-7.857248187E-2
4.838467364E0,2.822958827E-1,-5.795579776E-2,-6.895136088E-2
4.857927989E0,1.350774765E-1,-1.007163301E-1,-4.940368980E-2
4.877388719E0,-3.291033953E-2,-9.460768104E-2,-3.260490671E-2
4.896849448E0,-1.866955459E-1,-5.520690605E-2,-3.199404106E-2
4.916310073E0,-2.971093655E-1,7.406735327E-3,-2.939786762E-2
4.935770802E0,-3.450622559E-1,5.581776798E-2,-4.352411721E-3
4.955231531E0,-3.403280377E-1,7.475458086E-2,6.009382382E-2
4.974692156E0,-3.244455457E-1,6.803506613E-2,1.314122826E-1
4.994152885E0,-3.206276596E-1,3.657552972E-2,1.944840699E-1
5.013613614E0,-2.832121849E-1,2.542724647E-2,2.529743910E-1
5.033074239E0,-2.076176703E-1,3.367391974E-2,3.325395286E-1
5.052534969E0,-1.828776449E-1,2.985601686E-2,3.778962195E-1
5.071995698E0,-2.105192691E-1,-4.940368980E-2,3.368155658E-1
5.091456323E0,-2.424369603E-1,-9.567669779E-2,2.630536556E-1
5.110917052E0,-2.682459950E-1,1.107192412E-2,1.895971596E-1
5.130377781E0,-2.570977211E-1,2.132681608E-1,1.854738146E-1
5.149838406E0,-2.471711636E-1,3.730092943E-1,1.979965419E-1
5.169299135E0,-2.267071903E-1,4.172970057E-1,1.946367919E-1
5.188759864E0,-1.589011997E-1,3.623191714E-1,1.673005968E-1
5.208220489E0,-5.352702737E-2,2.575558722E-1,1.291215420E-1
5.227681219E0,3.871355578E-2,1.656207144E-1,1.014799103E-1
5.247141948E0,8.972076327E-2,1.505018175E-1,7.979421318E-2
5.266602573E0,1.286633909E-1,1.837939471E-1,4.986183718E-2
5.286063302E0,1.559995860E-1,2.355647236E-1,1.397353224E-2
5.305524031E0,1.434768587E-1,2.586248815E-1,-2.160934173E-2
5.324984656E0,1.071304083E-1,2.486983240E-1,-5.016727000E-2
5.344445385E0,8.361211419E-2,1.637881249E-1,-7.215840369E-2
5.363906114E0,9.109520912E-2,3.168861195E-2,-8.193223923E-2
5.383366844E0,1.117118970E-1,-1.109483168E-1,-6.085740402E-2
5.402827469E0,1.176678315E-1,-1.763108522E-1,-1.412624773E-2
5.422288198E0,1.190422773E-1,-1.245400533E-1,4.848739132E-2
5.441748927E0,1.098793000E-1,-5.115992390E-3,8.910989761E-2
5.461209552E0,6.757691503E-2,9.445496649E-2,8.956804872E-2
5.480670281E0,1.298087649E-3,1.428660005E-1,6.895136088E-2
5.500131010E0,-6.498073786E-2,1.327867359E-1,4.680751264E-2
5.519591635E0,-1.046869531E-1,9.048434347E-2,2.420551702E-2
5.539052364E0,-1.056032479E-1,4.528035223E-2,1.168278884E-2
5.558513094E0,-7.841976732E-2,2.649625950E-2,6.032289471E-3
5.577973719E0,-3.657552972E-2,2.344193682E-2,8.323032409E-3
5.597434448E0,4.963276442E-3,1.718057133E-2,2.771798894E-2
5.616895177E0,2.023489587E-2,9.544761851E-3,4.069886729E-2
5.636355802E0,2.313650399E-2,1.756236190E-3,3.932442144E-2
